month,expected_inflation
2015M04,2.6
2015M05,2.4
2015M06,2.3
2015M07,2.3
2015M08,2.2
2015M09,2.3
2015M10,2.4
2015M11,2.3
2015M12,2.3
2016M01,2.2
2016M02,2.1
2016M03,1.9
2016M04,1.9
2016M05,2.0
2016M06,2.3
2016M07,2.0
2016M08,2.1
2016M09,2.3
2016M10,2.4
2016M11,2.8
2016M12,2.7
2017M01,2.6
2017M02,3.1
2017M03,2.9
2017M04,2.8
2017M05,2.9
2017M06,3.0
2017M07,3.1
2017M08,2.5
2017M09,2.9
2017M10,3.2
2017M11,2.7
2017M12,3.2
2018M01,3.0
2018M02,3.2
2018M03,3.3
2018M04,3.3
2018M05,3.5
2018M06,3.8
2018M07,4.1
2018M08,3.9
2018M09,4.0
2018M10,3.6
2018M11,3.7
2018M12,3.8
2019M01,3.8
2019M02,3.9
2019M03,3.6
2019M04,3.8
2019M05,4.0
2019M06,3.8
2019M07,3.7
2019M08,3.7
2019M09,3.9
2019M10,3.7
2019M11,3.8
2019M12,3.6
2020M01,3.8
2020M02,3.8
2020M03,3.5
2020M04,3.0
2020M05,3.5
2020M06,3.9
2020M07,4.0
2020M08,3.2
2020M09,3.5
2020M10,3.5
2020M11,3.6
2020M12,3.3
2021M01,3.6
2021M02,3.6
2021M03,3.7
2021M04,3.6
2021M05,4.3
2021M06,3.9
2021M07,4.8
2021M08,3.9
2021M09,5.1
2021M10,5.4
2021M11,6.4
2021M12,6.0
2022M01,6.7
2022M02,6.5
2022M03,10.1
2022M04,10.0
2022M05,9.9
2022M06,10.4
2022M07,10.3
2022M08,9.9
2022M09,11.4
2022M10,10.8
2022M11,10.0
2022M12,9.9
2023M01,9.9
2023M02,9.5
2023M03,9.7
2023M04,6.9
2023M05,5.7
2023M06,5.5
2023M07,6.2
2023M08,7.4
2023M09,7.1
2023M10,7.0
2023M11,7.1
2023M12,6.5
2024M01,7.1
2024M02,6.8
2024M03,6.4
2024M04,6.5
2024M05,6.2
2024M06,6.2
2024M07,6.2
2024M08,6.0
2024M09,5.6
2024M10,6.0
2024M11,6.3
2024M12,6.8
2025M01,6.9
2025M02,7.5
2025M03,9.2
2025M04,9.5
2025M05,8.9
2025M06,8.6
2025M07,7.9
2025M08,7.8
2025M09,6.9
2025M10,6.7
2025M11,7.1
