month,real_wage_index
1992M01,89.4
1992M02,89.6
1992M03,89.8
1992M04,91.6
1992M05,91.8
1992M06,92.1
1992M07,92.5
1992M08,92.7
1992M09,92.9
1992M10,92.9
1992M11,93.1
1992M12,93.4
1993M01,93.5
1993M02,93.6
1993M03,93.8
1993M04,93.9
1993M05,94.2
1993M06,94.4
1993M07,94.4
1993M08,94.6
1993M09,94.8
1993M10,95.1
1993M11,95.3
1993M12,95.6
1994M01,95.9
1994M02,96.1
1994M03,96.2
1994M04,95.9
1994M05,96.2
1994M06,96.5
1994M07,96.8
1994M08,97.1
1994M09,97.1
1994M10,97.6
1994M11,97.8
1994M12,98.0
1995M01,98.1
1995M02,98.3
1995M03,98.5
1995M04,99.0
1995M05,99.0
1995M06,99.5
1995M07,100.4
1995M08,100.5
1995M09,101.0
1995M10,101.5
1995M11,101.9
1995M12,102.2
1996M01,103.8
1996M02,104.1
1996M03,104.5
1996M04,105.3
1996M05,105.9
1996M06,106.1
1996M07,106.3
1996M08,106.3
1996M09,106.9
1996M10,106.9
1996M11,107.5
1996M12,108.2
1997M01,108.8
1997M02,109.4
1997M03,110.4
1997M04,109.9
1997M05,110.4
1997M06,110.6
1997M07,110.9
1997M08,111.3
1997M09,111.6
1997M10,111.6
1997M11,112.1
1997M12,112.6
1998M01,113.0
1998M02,113.1
1998M03,113.7
1998M04,114.0
1998M05,114.3
1998M06,114.7
1998M07,115.0
1998M08,115.6
1998M09,115.9
1998M10,116.1
1998M11,116.6
1998M12,116.9
1999M01,117.2
1999M02,117.5
1999M03,117.6
1999M04,117.7
1999M05,118.3
1999M06,118.4
1999M07,118.9
1999M08,119.2
1999M09,119.5
1999M10,120.1
1999M11,120.6
1999M12,120.8
2000M01,121.4
2000M02,121.7
2000M03,121.9
2000M04,122.5
2000M05,122.5
2000M06,123.4
2000M07,123.3
2000M08,123.6
2000M09,124.0
2000M10,124.6
2000M11,124.9
2000M12,125.4
2001M01,125.8
2001M02,126.5
2001M03,127.0
2001M04,127.9
2001M05,128.1
2001M06,128.7
2001M07,129.1
