period,total,energy
1980M01,28.38,23.02
1980M02,28.81,23.61
1980M03,28.96,23.66
1980M04,29.15,23.81
1980M05,29.25,23.93
1980M06,29.32,24.08
1980M07,29.57,24.17
1980M08,29.74,24.27
1980M09,30.58,24.3
1980M10,31.02,24.77
1980M11,31.21,24.98
1980M12,31.34,25.1
1981M01,31.92,26.03
1981M02,32.53,26.99
1981M03,32.71,27.07
1981M04,32.9,27.23
1981M05,33.1,27.28
1981M06,33.22,27.55
1981M07,33.53,27.83
1981M08,33.78,28.11
1981M09,34.02,28.19
1981M10,34.25,28.09
1981M11,34.38,28.23
1981M12,34.2,28.28
1982M01,34.95,29.47
1982M02,35.45,29.55
1982M03,35.54,29.18
1982M04,35.77,29.39
1982M05,35.93,29.5
1982M06,36.05,29.57
1982M07,36.3,29.88
1982M08,36.39,29.91
1982M09,36.59,29.93
1982M10,37.1,30.45
1982M11,37.39,30.61
1982M12,37.5,30.63
1983M01,38.33,31.45
1983M02,38.34,30.9
1983M03,38.48,30.76
1983M04,38.79,30.76
1983M05,39.03,30.99
1983M06,39.24,31.09
1983M07,39.56,31.34
1983M08,39.76,31.33
1983M09,40.05,31.5
1983M10,40.38,31.69
1983M11,40.62,31.92
1983M12,40.95,31.88
1984M01,41.52,32.66
1984M02,41.35,32.75
1984M03,41.94,32.81
1984M04,42.21,32.96
1984M05,42.51,33.02
1984M06,42.41,33.05
1984M07,42.52,33.62
1984M08,42.84,33.46
1984M09,43.12,33.6
1984M10,43.32,33.82
1984M11,43.59,34.14
1984M12,44.29,34.77
1985M01,44.55,35.32
1985M02,44.95,35.51
1985M03,45.29,35.66
1985M04,45.47,35.79
1985M05,45.99,36.8
1985M06,45.84,36.44
1985M07,45.8,36.17
1985M08,45.79,36.12
1985M09,45.99,36.14
1985M10,46.28,36.68
1985M11,46.59,36.87
1985M12,46.78,36.97
1986M01,47.31,37.88
1986M02,47.34,37.54
1986M03,47.26,37.01
1986M04,47.55,37.18
1986M05,47.55,36.92
1986M06,47.55,36.77
1986M07,47.66,37.12
1986M08,47.6,37.06
1986M09,48.03,37.15
1986M10,48.21,36.92
1986M11,48.22,36.91
1986M12,48.34,37.1
1987M01,48.78,37.82
1987M02,48.93,37.92
1987M03,49.03,37.95
1987M04,49.16,38.13
1987M05,49.2,38.21
1987M06,49.11,38.23
1987M07,49.7,38.5
1987M08,49.95,38.64
1987M09,50.42,38.74
1987M10,50.65,38.91
1987M11,50.81,39.13
1987M12,50.81,39.11
1988M01,51.09,40.09
1988M02,51.47,40.24
1988M03,51.7,40.27
1988M04,52.16,40.56
1988M05,52.35,40.93
1988M06,52.47,41.08
1988M07,52.73,41.28
1988M08,52.83,41.38
1988M09,53.24,41.46
1988M10,53.65,41.77
1988M11,53.74,41.76
1988M12,53.85,41.89
1989M01,54.48,43.13
1989M02,54.78,43.21
1989M03,55.01,43.29
1989M04,55.51,43.75
1989M05,55.75,44.01
1989M06,55.94,44.06
1989M07,55.96,44.42
1989M08,56.18,44.49
1989M09,56.63,44.62
1989M10,57.12,44.87
1989M11,57.21,45.07
1989M12,57.42,45.37
1990M01,59.05,48.01
1990M02,59.25,48.09
1990M03,60.88,50.63
1990M04,61.1,51.07
1990M05,61.45,51.12
1990M06,61.41,50.92
1990M07,61.99,51.21
1990M08,62.42,51.34
1990M09,63.13,51.55
1990M10,63.54,51.66
1990M11,63.75,52.24
1990M12,63.67,52.51
1991M01,65.19,55.16
1991M02,67.0,60.28
1991M03,67.24,60.14
1991M04,67.61,60.59
1991M05,67.68,60.8
1991M06,67.59,60.51
1991M07,67.6,60.8
1991M08,67.51,60.77
1991M09,68.24,60.92
1991M10,68.5,61.35
1991M11,68.81,61.44
1991M12,68.72,62.11
1992M01,68.6,64.11
1992M02,68.62,64.1
1992M03,68.95,64.13
1992M04,69.1,64.2
1992M05,69.16,64.37
1992M06,68.98,64.6
1992M07,68.88,64.65
1992M08,68.93,64.94
1992M09,69.93,66.2
1992M10,70.07,66.4
1992M11,69.73,65.94
1992M12,69.99,65.66
1993M01,71.88,68.78
1993M02,72.09,68.68
1993M03,72.4,68.66
1993M04,72.7,69.16
1993M05,72.53,68.67
1993M06,72.29,68.55
1993M07,72.15,68.49
1993M08,72.22,68.49
1993M09,72.87,68.5
1993M10,73.09,68.77
1993M11,73.11,68.72
1993M12,72.84,68.43
1994M01,73.06,69.48
1994M02,73.29,69.41
1994M03,73.56,69.42
1994M04,73.86,69.62
1994M05,74.02,69.78
1994M06,74.04,69.83
1994M07,74.06,70.0
1994M08,74.07,70.09
1994M09,74.75,70.24
1994M10,74.82,70.39
1994M11,74.77,70.4
1994M12,74.64,70.3
1995M01,74.92,71.23
1995M02,75.19,71.16
1995M03,75.48,71.23
1995M04,75.98,71.79
1995M05,76.06,71.81
1995M06,75.98,71.82
1995M07,75.9,71.83
1995M08,75.81,71.57
1995M09,76.32,71.45
1995M10,76.48,71.73
1995M11,76.46,71.67
1995M12,76.21,71.53
1996M01,76.1,73.8
1996M02,76.19,73.76
1996M03,76.54,73.64
1996M04,76.75,73.59
1996M05,76.67,73.22
1996M06,76.39,73.03
1996M07,76.22,72.83
1996M08,75.87,72.54
1996M09,76.3,72.73
1996M10,76.34,72.77
1996M11,76.19,72.55
1996M12,76.07,72.34
1997M01,76.06,72.78
1997M02,76.02,72.6
1997M03,76.33,72.45
1997M04,76.72,72.61
1997M05,76.72,72.4
1997M06,76.82,72.64
1997M07,76.68,72.8
1997M08,76.73,72.71
1997M09,77.44,72.56
1997M10,77.49,72.41
1997M11,77.36,72.31
1997M12,77.32,72.27
1998M01,76.59,71.87
1998M02,76.48,71.68
1998M03,76.6,71.51
1998M04,76.82,71.48
1998M05,76.95,71.42
1998M06,76.79,71.34
1998M07,76.62,71.24
1998M08,76.23,71.02
1998M09,76.54,70.93
1998M10,76.7,70.84
1998M11,76.51,70.62
1998M12,76.38,70.37
1999M01,76.41,70.4
1999M02,76.41,70.33
1999M03,76.7,70.13
1999M04,76.87,70.0
1999M05,77.01,69.94
1999M06,77.13,69.93
1999M07,76.79,69.93
1999M08,76.79,69.9
1999M09,77.33,69.91
1999M10,77.42,69.87
1999M11,77.21,69.83
1999M12,77.39,69.93
2000M01,76.75,70.07
2000M02,77.12,70.29
2000M03,77.49,70.43
2000M04,77.42,70.35
2000M05,77.79,70.29
2000M06,77.77,70.37
